Gender,Marital Status,Age,Education,Income,Occupation,Settlement Size
female,non-single (divorced / separated / married / widowed),39,university,130568.0,skilled employee / official,big city
male,single,29,high school,80315.0,unemployed / unskilled,small city
female,single,35,other / unknown,107067.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),56,university,214000.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),45,university,158138.0,skilled employee / official,big city
male,single,40,high school,135290.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),49,university,179032.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),53,graduate school,196851.0,skilled employee / official,big city
male,single,40,high school,131499.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,university,203573.0,skilled employee / official,small city
female,single,31,other / unknown,88912.0,unemployed / unskilled,small city
female,single,41,high school,138419.0,unemployed / unskilled,small city
male,single,32,high school,94215.0,unemployed / unskilled,small city
female,single,26,other / unknown,66825.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),44,university,152029.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),50,graduate school,181228.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),49,university,176561.0,skilled employee / official,small city
female,single,28,high school,75069.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,graduate school,172899.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),45,university,158342.0,management / self-employed / highly qualified employee / officer,big city
female,single,32,high school,92290.0,unemployed / unskilled,small city
male,single,35,high school,108411.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,graduate school,202654.0,management / self-employed / highly qualified employee / officer,big city
male,non-single (divorced / separated / married / widowed),39,university,128740.0,skilled employee / official,big city
male,single,31,other / unknown,89515.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),35,university,106893.0,skilled employee / official,big city
male,single,33,high school,98849.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,graduate school,173358.0,management / self-employed / highly qualified employee / officer,small city
female,single,45,other / unknown,157830.0,unemployed / unskilled,small city
male,single,29,high school,77753.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),41,graduate school,139315.0,skilled employee / official,big city
male,single,28,high school,76506.0,unemployed / unskilled,small city
female,single,36,high school,112922.0,unemployed / unskilled,small city
female,single,26,high school,64395.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),37,university,119917.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),43,university,147164.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),45,university,156856.0,skilled employee / official,small city
male,single,32,high school,93220.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,university,203962.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),34,university,103943.0,skilled employee / official,big city
male,single,28,high school,75471.0,unemployed / unskilled,mid-sized city
female,single,34,high school,104317.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,134312.0,management / self-employed / highly qualified employee / officer,small city
male,single,32,high school,96685.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),45,university,155706.0,skilled employee / official,small city
male,single,32,other / unknown,96606.0,unemployed / unskilled,small city
female,single,36,high school,114255.0,unemployed / unskilled,small city
male,single,36,high school,113255.0,unemployed / unskilled,small city
male,single,32,high school,94253.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,135593.0,skilled employee / official,big city
male,single,28,high school,73778.0,unemployed / unskilled,small city
female,single,36,other / unknown,114711.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),42,university,143610.0,skilled employee / official,big city
male,single,24,high school,53777.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),52,high school,189823.0,management / self-employed / highly qualified employee / officer,big city
female,single,26,high school,66497.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),49,university,176640.0,skilled employee / official,big city
female,single,40,high school,134760.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),59,university,228276.0,management / self-employed / highly qualified employee / officer,big city
male,single,36,high school,115637.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),41,graduate school,139744.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),49,university,175377.0,management / self-employed / highly qualified employee / officer,big city
male,single,37,high school,121299.0,unemployed / unskilled,small city
male,single,36,high school,114647.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),49,university,178996.0,skilled employee / official,big city
male,single,38,other / unknown,125126.0,unemployed / unskilled,small city
female,single,33,high school,98018.0,unemployed / unskilled,small city
male,single,32,high school,94764.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),55,university,205370.0,management / self-employed / highly qualified employee / officer,small city
male,single,31,high school,89618.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,graduate school,203294.0,skilled employee / official,small city
male,single,35,high school,111391.0,unemployed / unskilled,small city
female,single,45,other / unknown,158287.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),44,university,153452.0,skilled employee / official,big city
female,single,37,high school,116746.0,unemployed / unskilled,mid-sized city
male,single,31,high school,91828.0,unemployed / unskilled,small city
female,single,37,high school,117354.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),49,university,179863.0,skilled employee / official,big city
male,single,32,high school,94185.0,unemployed / unskilled,mid-sized city
male,single,38,other / unknown,122169.0,unemployed / unskilled,small city
male,single,29,high school,79549.0,unemployed / unskilled,small city
